none, none;
low, sub;
midlow, bass;
middle, mid;
midhigh, highmid;
high, high;
male, bass;
male2, mid;
male3, highmid;
male4, high;
female, mid;
female2, highmid;
female3, high;
kick, sub;
kick2, bass;
kick3, mid;
kick4, highmid;
kick5, high;
tympani, bass;
tympani2, mid;
tympani3, highmid;
toms, bass;
toms2, mid;
toms3, highmid;
toms4, high;
snare, bass;
snare2, mid;
snare3, highmid;
snare4, high;
congas, bass;
congas2, mid;
congas3, highmid;
cymbals, bass;
cymabls2, mid;
cymbals3, highmid;
cymbals4, high;
tuba, sub;
tuba2, bass;
tuba3, mid;
french, bass;
french2, mid;
french3, highmid;
basst, bass;
basst2, mid;
basst3, highmid;
basst4, high;
tenort, bass;
tenort2, mid;
tenort3, highmid;
tenort4, high;
trumpet, bass;
trumpet2, mid;
trumpet3, highmid;
trumpet4, high;
contra, sub;
contra2, bass;
contra3, mid;
contra4, highmid;
bassoon, bass;
bassoon2, mid;
bassoon3, highmid;
bassoon4, high;
tenors, bass;
tenors2, mid;
tenors3, highmid;
tenors4, high;
altos, bass;
altos2, mid;
altos3, highmid;
altos4, high;
clarinet, bass;
clarinet2, mid;
clarinet3, highmid;
clarinet4, high;
oboe, bass;
oboe2, mid;
oboe3, highmid;
oboe4, high;
flute, mid;
flute2, highmid;
flute3, high;
piccolo, mid;
piccolo2, highmid;
piccolo3, high;
bass, sub;
bass2, bass;
bass3, mid;
bass4, highmid;
cello, bass;
cello2, mid;
cello3, highmid;
cello4, high;
viola, bass;
viola2, mid;
viola3, highmid;
viola4, high;
violin, bass;
violin2, mid;
violin3, highmid;
violin4, high;
guitar, bass;
guitar2, mid;
guitar3, highmid;
harp, sub;
harp2, bass;
harp3, mid;
harp4, highmid;
pipe, sub;
pipe2, bass;
pipe3, mid;
pipe4, highmid;
pipe5, high;
piano, sub;
piano2, bass;
piano3, mid;
piano4, highmid;
piano5, sub;
piano6, bass;
piano7, mid;
piano8, highmid;
